date,open,closed,label:checks,label:compute,label:experience,label:ghae,label:ghes,label:platform,label:policy,label:runtime,label:service,column:Backlog,column:Waiting/Blocked,column:Investigating,column:In Progress,column:Incidents,column:Done
2021-09-07,50,358,1,3,7,0,19,7,0,5,2,20,9,12,2,2,281
2021-09-08,50,3,1,3,7,0,19,7,0,5,2,20,9,12,2,2,281
